estado,anio,mes,mes_num,sexo,homicidios_total
Aguascalientes,1998,Abril,4,Mujer,1
Aguascalientes,1998,Mayo,5,Hombre,5
Aguascalientes,1998,Mayo,5,Mujer,2
Aguascalientes,1998,Junio,6,Hombre,3
Aguascalientes,1998,Julio,7,Hombre,2
Aguascalientes,1998,Julio,7,Mujer,2
Aguascalientes,1998,Agosto,8,Hombre,2
Aguascalientes,1998,Septiembre,9,Hombre,5
Aguascalientes,1998,Octubre,10,Mujer,1
Aguascalientes,1998,Noviembre,11,Hombre,3
Aguascalientes,1998,Diciembre,12,Hombre,3
Aguascalientes,1998,Diciembre,12,Mujer,1
Aguascalientes,1999,Enero,1,Hombre,5
Aguascalientes,1999,Febrero,2,Hombre,1
Aguascalientes,1999,Marzo,3,Hombre,2
Aguascalientes,1999,Mayo,5,Hombre,2
Aguascalientes,1999,Junio,6,Hombre,1
Aguascalientes,1999,Julio,7,Hombre,2
Aguascalientes,1999,Agosto,8,Hombre,4
Aguascalientes,1999,Septiembre,9,Hombre,3
Aguascalientes,1999,Octubre,10,Hombre,1
Aguascalientes,1999,Noviembre,11,Hombre,2
Aguascalientes,2000,Marzo,3,Hombre,1
Aguascalientes,2000,Abril,4,Hombre,1
Aguascalientes,2000,Abril,4,Mujer,1
Aguascalientes,2000,Mayo,5,Mujer,1
Aguascalientes,2000,Junio,6,Hombre,2
Aguascalientes,2000,Agosto,8,Hombre,3
Aguascalientes,2000,Septiembre,9,Hombre,2
Aguascalientes,2000,Octubre,10,Hombre,1
Aguascalientes,2000,Octubre,10,Mujer,1
Aguascalientes,2000,Noviembre,11,Hombre,1
Aguascalientes,2000,Diciembre,12,Hombre,1
Aguascalientes,2001,Enero,1,Hombre,3
Aguascalientes,2001,Febrero,2,Hombre,1
Aguascalientes,2001,Abril,4,Hombre,2
Aguascalientes,2001,Abril,4,Mujer,1
Aguascalientes,2001,Mayo,5,Hombre,4
Aguascalientes,2001,Junio,6,Hombre,2
Aguascalientes,2001,Julio,7,Hombre,1
Aguascalientes,2001,Agosto,8,Hombre,1
Aguascalientes,2001,Septiembre,9,Hombre,2
Aguascalientes,2001,Octubre,10,Hombre,1
Aguascalientes,2001,Noviembre,11,Hombre,1
Aguascalientes,2001,Noviembre,11,Mujer,1
Aguascalientes,2001,Diciembre,12,Hombre,2
Aguascalientes,2002,Enero,1,Hombre,2
Aguascalientes,2002,Febrero,2,Hombre,2
Aguascalientes,2002,Abril,4,Hombre,2
Aguascalientes,2002,Abril,4,Mujer,2
Aguascalientes,2002,Mayo,5,Hombre,3
Aguascalientes,2002,Junio,6,Hombre,2
Aguascalientes,2002,Julio,7,Hombre,3
Aguascalientes,2002,Agosto,8,Hombre,1
Aguascalientes,2002,Septiembre,9,Hombre,1
Aguascalientes,2002,Septiembre,9,Mujer,1
Aguascalientes,2002,Octubre,10,Hombre,2
Aguascalientes,2002,Noviembre,11,Hombre,1
Aguascalientes,2002,Noviembre,11,Mujer,3
Aguascalientes,2002,Diciembre,12,Hombre,4
Aguascalientes,2003,Enero,1,Hombre,1
Aguascalientes,2003,Febrero,2,Hombre,1
Aguascalientes,2003,Marzo,3,Hombre,1
Aguascalientes,2003,Abril,4,Hombre,3
Aguascalientes,2003,Mayo,5,Hombre,2
Aguascalientes,2003,Mayo,5,Mujer,2
Aguascalientes,2003,Junio,6,Hombre,3
Aguascalientes,2003,Junio,6,Mujer,2
Aguascalientes,2003,Julio,7,Hombre,2
Aguascalientes,2003,Agosto,8,Hombre,2
Aguascalientes,2003,Octubre,10,Hombre,2
Aguascalientes,2003,Diciembre,12,Hombre,2
Aguascalientes,2003,Diciembre,12,Mujer,2
Aguascalientes,2004,Enero,1,Hombre,1
Aguascalientes,2004,Abril,4,Hombre,1
Aguascalientes,2004,Abril,4,Mujer,1
Aguascalientes,2004,Mayo,5,Hombre,2
Aguascalientes,2004,Mayo,5,Mujer,1
Aguascalientes,2004,Junio,6,Hombre,2
Aguascalientes,2004,Julio,7,Hombre,2
Aguascalientes,2004,Agosto,8,Hombre,1
Aguascalientes,2004,Septiembre,9,Mujer,2
Aguascalientes,2004,Octubre,10,Hombre,3
Aguascalientes,2004,Noviembre,11,Hombre,2
Aguascalientes,2004,Noviembre,11,Mujer,1
Aguascalientes,2004,Diciembre,12,Hombre,2
Aguascalientes,2005,Enero,1,Hombre,2
Aguascalientes,2005,Marzo,3,Hombre,2
Aguascalientes,2005,Marzo,3,Mujer,4
Aguascalientes,2005,Mayo,5,Hombre,3
Aguascalientes,2005,Junio,6,Hombre,3
Aguascalientes,2005,Junio,6,Mujer,1
Aguascalientes,2005,Agosto,8,Hombre,2
Aguascalientes,2005,Septiembre,9,Hombre,1
Aguascalientes,2005,Octubre,10,Mujer,1
Aguascalientes,2005,Noviembre,11,Hombre,3
Aguascalientes,2005,Noviembre,11,Mujer,1
Aguascalientes,2005,Diciembre,12,Hombre,2
Aguascalientes,2006,Enero,1,Mujer,1
Aguascalientes,2006,Febrero,2,Hombre,3
Aguascalientes,2006,Marzo,3,Hombre,1
Aguascalientes,2006,Abril,4,Hombre,1
Aguascalientes,2006,Mayo,5,Hombre,4
Aguascalientes,2006,Mayo,5,Mujer,1
Aguascalientes,2006,Junio,6,Mujer,1
Aguascalientes,2006,Julio,7,Hombre,2
Aguascalientes,2006,Julio,7,Mujer,2
Aguascalientes,2006,Agosto,8,Hombre,2
