estado,anio,mes,mes_num,homicidios_total
Aguascalientes,2003,Marzo,3,1
Aguascalientes,2003,Abril,4,3
Aguascalientes,2003,Mayo,5,4
Aguascalientes,2003,Junio,6,5
Aguascalientes,2003,Julio,7,2
Aguascalientes,2003,Agosto,8,2
Aguascalientes,2003,Octubre,10,2
Aguascalientes,2003,Diciembre,12,4
Aguascalientes,2004,Enero,1,1
Aguascalientes,2004,Abril,4,2
Aguascalientes,2004,Mayo,5,3
Aguascalientes,2004,Junio,6,2
Aguascalientes,2004,Julio,7,2
Aguascalientes,2004,Agosto,8,1
Aguascalientes,2004,Septiembre,9,2
Aguascalientes,2004,Octubre,10,3
Aguascalientes,2004,Noviembre,11,3
Aguascalientes,2004,Diciembre,12,2
Aguascalientes,2005,Enero,1,2
Aguascalientes,2005,Marzo,3,6
Aguascalientes,2005,Mayo,5,3
Aguascalientes,2005,Junio,6,4
Aguascalientes,2005,Agosto,8,2
Aguascalientes,2005,Septiembre,9,1
Aguascalientes,2005,Octubre,10,1
Aguascalientes,2005,Noviembre,11,4
Aguascalientes,2005,Diciembre,12,2
Aguascalientes,2006,Enero,1,1
Aguascalientes,2006,Febrero,2,3
Aguascalientes,2006,Marzo,3,1
Aguascalientes,2006,Abril,4,1
Aguascalientes,2006,Mayo,5,5
Aguascalientes,2006,Junio,6,1
Aguascalientes,2006,Julio,7,4
Aguascalientes,2006,Agosto,8,3
Aguascalientes,2006,Septiembre,9,2
Aguascalientes,2006,Octubre,10,1
Aguascalientes,2006,Noviembre,11,3
Aguascalientes,2006,Diciembre,12,1
Aguascalientes,2007,Enero,1,3
Aguascalientes,2007,Febrero,2,1
Aguascalientes,2007,Marzo,3,1
Aguascalientes,2007,Abril,4,1
Aguascalientes,2007,Mayo,5,3
Aguascalientes,2007,Junio,6,3
Aguascalientes,2007,Julio,7,6
Aguascalientes,2007,Agosto,8,8
Aguascalientes,2007,Septiembre,9,5
Aguascalientes,2007,Octubre,10,5
Aguascalientes,2007,Noviembre,11,3
Aguascalientes,2007,Diciembre,12,2
Aguascalientes,2008,Enero,1,4
Aguascalientes,2008,Febrero,2,2
Aguascalientes,2008,Marzo,3,3
Aguascalientes,2008,Abril,4,2
Aguascalientes,2008,Mayo,5,5
Aguascalientes,2008,Junio,6,2
Aguascalientes,2008,Julio,7,11
Aguascalientes,2008,Agosto,8,11
Aguascalientes,2008,Septiembre,9,7
Aguascalientes,2008,Octubre,10,4
Aguascalientes,2008,Noviembre,11,2
Aguascalientes,2008,Diciembre,12,5
Aguascalientes,2009,Enero,1,6
Aguascalientes,2009,Febrero,2,5
Aguascalientes,2009,Marzo,3,5
Aguascalientes,2009,Abril,4,6
Aguascalientes,2009,Mayo,5,6
Aguascalientes,2009,Junio,6,3
Aguascalientes,2009,Julio,7,9
Aguascalientes,2009,Agosto,8,3
Aguascalientes,2009,Septiembre,9,5
Aguascalientes,2009,Octubre,10,4
Aguascalientes,2009,Noviembre,11,5
Aguascalientes,2009,Diciembre,12,8
Aguascalientes,2010,Enero,1,4
Aguascalientes,2010,Febrero,2,3
Aguascalientes,2010,Marzo,3,4
Aguascalientes,2010,Abril,4,2
Aguascalientes,2010,Mayo,5,3
Aguascalientes,2010,Junio,6,8
Aguascalientes,2010,Julio,7,5
Aguascalientes,2010,Agosto,8,10
Aguascalientes,2010,Septiembre,9,9
Aguascalientes,2010,Octubre,10,8
Aguascalientes,2010,Noviembre,11,11
Aguascalientes,2010,Diciembre,12,8
Aguascalientes,2011,Enero,1,9
Aguascalientes,2011,Febrero,2,10
Aguascalientes,2011,Marzo,3,6
Aguascalientes,2011,Abril,4,8
Aguascalientes,2011,Mayo,5,8
Aguascalientes,2011,Junio,6,14
Aguascalientes,2011,Julio,7,4
Aguascalientes,2011,Agosto,8,3
Aguascalientes,2011,Septiembre,9,6
Aguascalientes,2011,Octubre,10,6
Aguascalientes,2011,Noviembre,11,2
Aguascalientes,2011,Diciembre,12,5
Aguascalientes,2012,Enero,1,3
Aguascalientes,2012,Febrero,2,4
Aguascalientes,2012,Marzo,3,5
Aguascalientes,2012,Abril,4,2
Aguascalientes,2012,Mayo,5,5
Aguascalientes,2012,Junio,6,3
Aguascalientes,2012,Julio,7,5
Aguascalientes,2012,Agosto,8,2
Aguascalientes,2012,Septiembre,9,2
Aguascalientes,2012,Octubre,10,3
Aguascalientes,2012,Noviembre,11,8
Aguascalientes,2012,Diciembre,12,3
Aguascalientes,2013,Enero,1,2
Aguascalientes,2013,Febrero,2,5
Aguascalientes,2013,Marzo,3,3
Aguascalientes,2013,Abril,4,5
Aguascalientes,2013,Mayo,5,2
Aguascalientes,2013,Junio,6,3
Aguascalientes,2013,Julio,7,6
Aguascalientes,2013,Agosto,8,4
Aguascalientes,2013,Septiembre,9,4
Aguascalientes,2013,Octubre,10,4
Aguascalientes,2013,Noviembre,11,4
Aguascalientes,2013,Diciembre,12,2
Aguascalientes,2014,Enero,1,2
Aguascalientes,2014,Febrero,2,3
Aguascalientes,2014,Marzo,3,4
Aguascalientes,2014,Abril,4,1
Aguascalientes,2014,Mayo,5,3
Aguascalientes,2014,Junio,6,10
Aguascalientes,2014,Julio,7,2
Aguascalientes,2014,Agosto,8,2
Aguascalientes,2014,Septiembre,9,2
Aguascalientes,2014,Octubre,10,7
Aguascalientes,2014,Noviembre,11,4
Aguascalientes,2014,Diciembre,12,6
Aguascalientes,2015,Enero,1,7
Aguascalientes,2015,Marzo,3,5
Aguascalientes,2015,Abril,4,4
Aguascalientes,2015,Mayo,5,5
Aguascalientes,2015,Junio,6,7
Aguascalientes,2015,Julio,7,2
Aguascalientes,2015,Agosto,8,1
Aguascalientes,2015,Septiembre,9,4
Aguascalientes,2015,Octubre,10,2
Aguascalientes,2015,Noviembre,11,3
Aguascalientes,2015,Diciembre,12,5
Aguascalientes,2016,Febrero,2,4
Aguascalientes,2016,Marzo,3,6
Aguascalientes,2016,Abril,4,5
Aguascalientes,2016,Mayo,5,5
Aguascalientes,2016,Junio,6,3
Aguascalientes,2016,Julio,7,1
Aguascalientes,2016,Agosto,8,4
Aguascalientes,2016,Septiembre,9,4
Aguascalientes,2016,Octubre,10,5
Aguascalientes,2016,Noviembre,11,2
Aguascalientes,2016,Diciembre,12,6
Aguascalientes,2017,Enero,1,5
Aguascalientes,2017,Febrero,2,3
Aguascalientes,2017,Marzo,3,3
Aguascalientes,2017,Abril,4,5
Aguascalientes,2017,Mayo,5,11
Aguascalientes,2017,Junio,6,14
Aguascalientes,2017,Julio,7,4
Aguascalientes,2017,Agosto,8,10
